Lugar de residencia;CODIGO_INE3;Anual;Medida;Valor;
Abla;04001;2022;Población municipal;1247;
Abrucena;04002;2022;Población municipal;1221;
Adra;04003;2022;Población municipal;25300;
Albanchez;04004;2022;Población municipal;735;
Alboloduy;04005;2022;Población municipal;615;
Albox;04006;2022;Población municipal;12087;
Alcolea;04007;2022;Población municipal;831;
Alcóntar;04008;2022;Población municipal;538;
Alcudia de Monteagud;04009;2022;Población municipal;133;
Alhabia;04010;2022;Población municipal;685;
Alhama de Almería;04011;2022;Población municipal;3757;
Alicún;04012;2022;Población municipal;214;
Almería (capital);04013;2022;Población municipal;199237;
Almócita;04014;2022;Población municipal;201;
Alsodux;04015;2022;Población municipal;129;
Antas;04016;2022;Población municipal;3339;
Arboleas;04017;2022;Población municipal;4532;
Armuña de Almanzora;04018;2022;Población municipal;313;
Bacares;04019;2022;Población municipal;240;
Balanegra;04904;2022;Población municipal;2886;
Bayárcal;04020;2022;Población municipal;312;
Bayarque;04021;2022;Población municipal;226;
Bédar;04022;2022;Población municipal;1009;
Beires;04023;2022;Población municipal;138;
Benahadux;04024;2022;Población municipal;4605;
Benitagla;04026;2022;Población municipal;53;
Benizalón;04027;2022;Población municipal;253;
Bentarique;04028;2022;Población municipal;239;
Berja;04029;2022;Población municipal;12807;
Canjáyar;04030;2022;Población municipal;1163;
Cantoria;04031;2022;Población municipal;3533;
Carboneras;04032;2022;Población municipal;8210;
Castro de Filabres;04033;2022;Población municipal;115;
Chercos;04036;2022;Población municipal;301;
Chirivel;04037;2022;Población municipal;1511;
Cóbdar;04034;2022;Población municipal;160;
Cuevas del Almanzora;04035;2022;Población municipal;14790;
Dalías;04038;2022;Población municipal;4141;
El Ejido;04902;2022;Población municipal;87500;
Enix;04041;2022;Población municipal;554;
Felix;04043;2022;Población municipal;697;
Fines;04044;2022;Población municipal;2161;
Fiñana;04045;2022;Población municipal;1978;
Fondón;04046;2022;Población municipal;1045;
Gádor;04047;2022;Población municipal;3018;
Garrucha;04049;2022;Población municipal;10027;
Gérgal;04050;2022;Población municipal;1115;
Huécija;04051;2022;Población municipal;503;
Huércal de Almería;04052;2022;Población municipal;18384;
Huércal-Overa;04053;2022;Población municipal;20093;
Íllar;04054;2022;Población municipal;456;
